source,target,weight,ref_type
.agent/rules/axioms.md,AXIOMS.md,1,wikilink
.aops/batch-audit/baseline.json,.agent/rules/heuristics.md,1,path_literal
.aops/batch-audit/baseline.json,.claude/CLAUDE.md,1,path_literal
.aops/batch-audit/baseline.json,.github/pull_request_template.md,1,path_literal
.claude/CLAUDE.md,AGENTS.md,1,at_inclusion
.claude/settings.json,hooks/router.py,7,env_path
AGENTS.md,AXIOMS.md,1,wikilink
AXIOMS.md,AXIOMS.md,1,wikilink
CLAUDE.md,AGENTS.md,1,at_inclusion
FLOW.md,specs/execution-flow-spec.md,1,wikilink
FRAMEWORK.md,ROADMAP.md,1,wikilink
FRAMEWORK.md,VISION.md,1,wikilink
GEMINI.md,AXIOMS.md,1,env_path
GEMINI.md,AXIOMS.md,1,wikilink
GEMINI.md,HEURISTICS.md,1,env_path
GEMINI.md,ROADMAP.md,1,env_path
GEMINI.md,VISION.md,1,env_path
GEMINI.md,specs/reflexivity.md,1,wikilink
INDEX.md,AGENTS.md,1,wikilink
INDEX.md,AXIOMS.md,1,wikilink
INDEX.md,CLAUDE.md,1,wikilink
INDEX.md,FRAMEWORK.md,2,wikilink
INDEX.md,GEMINI.md,1,wikilink
INDEX.md,HEURISTICS.md,1,wikilink
INDEX.md,INDEX.md,1,wikilink
INDEX.md,README.md,2,wikilink
INDEX.md,ROADMAP.md,1,wikilink
INDEX.md,RULES.md,1,wikilink
INDEX.md,VISION.md,1,wikilink
INDEX.md,WORKFLOWS.md,1,wikilink
README.md,AXIOMS.md,2,markdown_link
README.md,FLOW.md,1,wikilink
README.md,FRAMEWORK.md,1,wikilink
README.md,FRAMEWORK.md,1,markdown_link
README.md,HEURISTICS.md,2,markdown_link
README.md,INDEX.md,1,markdown_link
README.md,docs/ENFORCEMENT.md,1,wikilink
README.md,docs/HOOKS.md,1,markdown_link
README.md,docs/WEB-BUNDLE.md,1,markdown_link
README.md,specs/enforcement.md,1,wikilink
REMINDERS.md,AXIOMS.md,1,wikilink
REMINDERS.md,HEURISTICS.md,1,wikilink
REMINDERS.md,WORKFLOWS.md,1,wikilink
ROADMAP.md,specs/prompt-hydration.md,1,wikilink
RULES.md,config/claude/settings.json,1,env_path
RULES.md,hooks/fail_fast_watchdog.py,1,env_path
RULES.md,hooks/policy_enforcer.py,1,env_path
RULES.md,hooks/session_reflect.py,1,env_path
RULES.md,hooks/sessionstart_load_axioms.py,1,env_path
RULES.md,hooks/user_prompt_submit.py,1,env_path
RULES.md,specs/prompt-hydration.md,1,wikilink
RULES.md,specs/ultra-vires-custodiet.md,1,wikilink
VISION.md,AXIOMS.md,2,wikilink_aliased
VISION.md,HEURISTICS.md,1,wikilink_aliased
agents/effectual-planner.md,agents/planner.md,1,wikilink
agents/planner.md,agents/effectual-planner.md,2,wikilink
agents/prompt-hydrator.md,REMINDERS.md,2,wikilink
commands/aops.md,README.md,1,env_path
commands/learn.md,RULES.md,1,wikilink
commands/learn.md,docs/ENFORCEMENT.md,1,wikilink
commands/learn.md,specs/enforcement.md,1,wikilink
commands/learn.md,specs/reflexivity.md,2,wikilink
commands/log.md,specs/enforcement.md,1,wikilink
commands/meta.md,ROADMAP.md,1,wikilink
commands/meta.md,VISION.md,1,wikilink
commands/qa.md,AXIOMS.md,1,env_path
commands/qa.md,AXIOMS.md,1,wikilink
commands/qa.md,ROADMAP.md,2,wikilink
commands/qa.md,VISION.md,2,wikilink
commands/reflect.md,specs/enforcement.md,1,wikilink
commands/task-viz.md,skills/tasks/scripts/task_viz.py,1,env_path
config/claude/settings.json,hooks/router.py,7,env_path
docs/ENFORCEMENT.md,RULES.md,1,wikilink
docs/ENFORCEMENT.md,specs/enforcement.md,1,wikilink_aliased
docs/HOOKS.md,hooks/router.py,1,wikilink_aliased
docs/JIT-INJECTION.md,AXIOMS.md,1,env_path
docs/JIT-INJECTION.md,FRAMEWORK.md,1,env_path
docs/JIT-INJECTION.md,docs/OBSERVABILITY.md,1,wikilink_aliased
docs/JIT-INJECTION.md,hooks/autocommit_state.py,1,wikilink_aliased
docs/JIT-INJECTION.md,hooks/policy_enforcer.py,2,wikilink_aliased
docs/JIT-INJECTION.md,hooks/sessionstart_load_axioms.py,2,wikilink_aliased
docs/JIT-INJECTION.md,hooks/user_prompt_submit.py,2,wikilink_aliased
docs/OBSERVABILITY.md,hooks/hook_logger.py,1,wikilink_aliased
docs/OBSERVABILITY.md,hooks/unified_logger.py,1,wikilink_aliased
gemini/README.md,GEMINI.md,1,env_path
gemini/README.md,gemini/hooks/router.py,1,env_path
gemini/config/settings-merge.json,gemini/hooks/router.py,5,env_path
health-baseline-20260104.json,.claude/CLAUDE.md,1,path_literal
health-baseline-20260104.json,.mcp.json,1,path_literal
hooks/CLAUDE.md,docs/HOOKS.md,1,at_inclusion
hooks/custodiet_gate.py,lib/session_reader.py,1,python_import_from
hooks/custodiet_gate.py,lib/session_state.py,1,python_import_from
hooks/hook_logger.py,hooks/session_logger.py,1,python_import_from
hooks/hook_logger.py,lib/paths.py,1,python_import_from
hooks/hooks.md,hooks/session_env_setup.sh,1,wikilink
hooks/overdue_enforcement.py,lib/session_state.py,1,python_import_from
hooks/session_env_setup.sh,AXIOMS.md,1,env_path
hooks/sessionstart_load_axioms.py,hooks/hook_logger.py,1,python_import_from
hooks/sessionstart_load_axioms.py,lib/paths.py,1,python_import_from
hooks/skill_monitor.py,lib/session_state.py,1,python_import_from
hooks/unified_logger.py,hooks/hook_logger.py,1,python_import_from
hooks/user_prompt_submit.py,lib/paths.py,1,python_import_from
hooks/user_prompt_submit.py,lib/session_reader.py,1,python_import_from
hooks/user_prompt_submit.py,lib/session_state.py,1,python_import_from
lib/lib.md,lib/paths.py,1,wikilink
lib/lib.md,lib/session_analyzer.py,1,wikilink
lib/lib.md,lib/session_reader.py,1,wikilink
lib/session_analyzer.py,lib/session_reader.py,1,python_import_from
scripts/check_unprocessed_sessions.py,lib/session_reader.py,1,python_import_from
